Country,Year,Pop,Decade,GDP,Life_Expectancy,Region
Abkhazia,1800,NA,1800,NA,NA,Europe & Central Asia
Afghanistan,1800,3280000,1800,603,28.211,South Asia
Akrotiri and Dhekelia,1800,NA,1800,NA,NA,Europe & Central Asia
Albania,1800,410445,1800,667,35.4,Europe & Central Asia
Algeria,1800,2503218,1800,716,28.8224,Middle East & North Africa
American Samoa,1800,8170,1800,NA,NA,East Asia & Pacific
Andorra,1800,2654,1800,1197,NA,Europe & Central Asia
Angola,1800,1567028,1800,618,26.98,Sub-Saharan Africa
Anguilla,1800,2025,1800,NA,NA,America
Antigua and Barbuda,1800,37000,1800,757,33.536,America
Argentina,1800,534000,1800,1507,33.2,America
Armenia,1800,413326,1800,514,33.995,Europe & Central Asia
Aruba,1800,19286,1800,833,34.419,America
Australia,1800,351014,1800,815,34.05,East Asia & Pacific
Austria,1800,3205587,1800,1848,34.4,Europe & Central Asia
Azerbaijan,1800,879960,1800,775,29.165,Europe & Central Asia
Bahamas,1800,27350,1800,1445,35.179,America
Bahrain,1800,64474,1800,1235,30.3,Middle East & North Africa
Bangladesh,1800,19227358,1800,876,25.5,South Asia
Barbados,1800,81729,1800,913,32.124,America
Belarus,1800,2355081,1800,608,36.2,Europe & Central Asia
Belgium,1800,3138137,1800,2412,40,Europe & Central Asia
Belize,1800,25526,1800,579,26.5,America
Benin,1800,636559,1800,597,31,Sub-Saharan Africa
Bermuda,1800,9692,1800,1227,NA,America
Bhutan,1800,89989,1800,629,28.799,South Asia
Bolivia,1800,1100000,1800,854,33,America
Bosnia and Herzegovina,1800,851806,1800,669,35.1,Europe & Central Asia
Botswana,1800,121000,1800,397,33.6,Sub-Saharan Africa
Brazil,1800,3639636,1800,1109,32,America
British Virgin Islands,1800,6700,1800,NA,NA,America
Brunei,1800,2128,1800,1512,29.2,East Asia & Pacific
Bulgaria,1800,1992320,1800,1089,35.8,Europe & Central Asia
Burkina Faso,1800,1665421,1800,480,29.2,Sub-Saharan Africa
Burundi,1800,899097,1800,418,31.5,Sub-Saharan Africa
Cambodia,1800,2090000,1800,903,35,East Asia & Pacific
Cameroon,1800,1860054,1800,626,28.75,Sub-Saharan Africa
Canada,1800,645526,1800,1314,39,America
Cape Verde,1800,55716,1800,529,33.8,Sub-Saharan Africa
Cayman Islands,1800,2439,1800,1039,NA,America
Central African Republic,1800,479444,1800,424,30,NA
Chad,1800,1432000,1800,418,30.9,Sub-Saharan Africa
Channel Islands,1800,43908,1800,NA,NA,Europe & Central Asia
Chile,1800,771447,1800,1026,32,America
China,1800,321675013,1800,985,32,East Asia & Pacific
Christmas Island,1800,NA,1800,NA,NA,East Asia & Pacific
Cocos Island,1800,NA,1800,NA,NA,East Asia & Pacific
Colombia,1800,1206000,1800,963,32,America
Comoros,1800,56346,1800,696,32.1,Sub-Saharan Africa
"Congo, Dem. Rep.",1800,5163819,1800,485,31.6,Sub-Saharan Africa
"Congo, Rep.",1800,314465,1800,575,32.7,Sub-Saharan Africa
Cook Is,1800,16136,1800,NA,NA,NA
Costa Rica,1800,51987,1800,775,30.2147,America
Cote d'Ivoire,1800,1088530,1800,812,31.156,Sub-Saharan Africa
Croatia,1800,1227886,1800,NA,36.1,Europe & Central Asia
Cuba,1800,345043,1800,864,32.2,America
Cyprus,1800,184392,1800,853,38.5,Europe & Central Asia
Czech Republic,1800,5516349,1800,1915,34.9544,NA
Czechoslovakia,1800,NA,1800,NA,NA,Europe & Central Asia
Denmark,1800,1062514,1800,2013,37.4055532520793,Europe & Central Asia
Djibouti,1800,22848,1800,752,29.9,Middle East & North Africa
Dominica,1800,19950,1800,663,NA,America
Dominican Republic,1800,89000,1800,667,29.9,NA
East Germany,1800,NA,1800,NA,NA,Europe & Central Asia
Ecuador,1800,5e+05,1800,529,32.9,America
Egypt,1800,4243515,1800,791,33,Middle East & North Africa
El Salvador,1800,248000,1800,974,28.7,America
Equatorial Guinea,1800,80377,1800,356,29.8,Sub-Saharan Africa
Eritrea,1800,205010,1800,532,30.2,Sub-Saharan Africa
Eritrea and Ethiopia,1800,NA,1800,NA,NA,Sub-Saharan Africa
Estonia,1800,334136,1800,938,36.1419674277376,Europe & Central Asia
Ethiopia,1800,2948990,1800,523,29.7,Sub-Saharan Africa
Faeroe Islands,1800,13537,1800,NA,NA,Europe & Central Asia
Falkland Is (Malvinas),1800,100,1800,NA,NA,NA
Fiji,1800,130533,1800,785,26.1,East Asia & Pacific
Finland,1800,977662,1800,1244,36.5731262034154,Europe & Central Asia
France,1800,29355111,1800,1803,33.967170239091,Europe & Central Asia
French Guiana,1800,9899,1800,NA,30.5,America
French Polynesia,1800,62530,1800,NA,25.6,East Asia & Pacific
Gabon,1800,158227,1800,390,30.6,Sub-Saharan Africa
Gambia,1800,103274,1800,813,28.8,Sub-Saharan Africa
Georgia,1800,1072178,1800,543,31.871,Europe & Central Asia
Germany,1800,22886919,1800,1639,38.37,Europe & Central Asia
Ghana,1800,2016034,1800,696,28,Sub-Saharan Africa
Gibraltar,1800,9873,1800,NA,NA,Europe & Central Asia
Greece,1800,2151155,1800,1371,36.6,Europe & Central Asia
Greenland,1800,9584,1800,393,33.867,Europe & Central Asia
Grenada,1800,29409,1800,959,31.4,America
Guadeloupe,1800,80726,1800,NA,27.655,America
Guam,1800,6053,1800,NA,27.5,East Asia & Pacific
Guatemala,1800,458965,1800,857,25.8,America
Guernsey,1800,NA,1800,NA,NA,Europe & Central Asia
Guinea,1800,983959,1800,450,29.5,Sub-Saharan Africa
Guinea-Bissau,1800,218167,1800,777,32,Sub-Saharan Africa
Guyana,1800,166034,1800,1214,31.12,America
Haiti,1800,723000,1800,633,29,America
Holy See,1800,905,1800,NA,NA,Europe & Central Asia
Honduras,1800,126118,1800,675,33.9,America
"Hong Kong, China",1800,20000,1800,1007,34.9,East Asia & Pacific
Hungary,1800,3499771,1800,1249,36,Europe & Central Asia
Iceland,1800,61428,1800,926,42.8455991183074,Europe & Central Asia
India,1800,168574895,1800,1052,25.4424,South Asia
Indonesia,1800,16108545,1800,994,30,East Asia & Pacific
Iran,1800,6269721,1800,977,25.6,Middle East & North Africa
Iraq,1800,1076920,1800,970,31.2,Middle East & North Africa
